ID,RiskProfile1,RiskProfile2,RiskProfile3,RiskProfile4,RiskProfile4,RiskProfile5,Length
1,13,8,360,175,3821,11,73
2,15,8,390,190,3850,8.5,70
3,17,8,304,150,3672,11.5,72
4,20.2,6,232,90,3265,18.2,79
5,18.1,6,258,120,3410,15.1,78
6,23,4,151,,3035,20.5,82
7,19.4,6,232,90,3210,17.2,78
8,24.3,4,151,90,3003,20.1,80
9,18,6,232,100,2789,15,73
10,19,6,232,100,2634,13,71
11,20,6,232,100,2914,16,75
12,21,6,199,90,2648,15,70
13,18,6,258,110,2962,13.5,71
14,18,6,199,97,2774,15.5,70
15,24.3,4,151,90,3003,20.1,80
16,18,6,232,100,2789,15,73
17,19,6,232,100,2634,13,71
18,20,6,232,100,2914,16,75
19,21,6,199,90,2648,15,70
20,18,6,258,110,2962,13.5,71
21,18,6,199,97,2774,15.5,70
22,18,6,232,100,2945,16,73
23,19,6,232,100,2901,16,74
24,22.5,6,232,90,3085,17.6,76
25,14,8,304,150,4257,15.5,74
26,15,8,304,150,3892,12.5,72
27,14,8,304,150,3672,11.5,73
28,15,6,258,110,3730,19,75
29,15.5,8,304,120,3962,13.9,76
30,16,6,258,110,3632,18,74
31,18,6,232,100,3288,15.5,71
32,17.5,6,258,95,3193,17.8,76
33,19,6,232,90,3211,17,75
34,,8,360,175,3850,11,70
35,16,8,304,150,3433,12,70
36,27.4,4,121,80,2670,15,79
37,20,4,114,91,2582,14,73
38,23,4,115,95,2694,15,75
39,24,4,107,90,2430,14.5,70
40,34.3,4,97,78,2188,15.8,80
41,20.3,5,131,103,2830,15.9,78
42,36.4,5,121,67,2950,19.9,80
43,29,4,98,83,2219,16.5,74
44,26,4,121,113,2234,12.5,70
45,21.5,4,121,110,2600,12.8,77
46,13,8,350,175,4100,13,73
47,25,6,181,110,2945,16.4,82
48,13,8,350,150,4699,14.5,74
49,20.6,6,231,105,3380,15.8,78
50,17,6,231,110,3907,21,75
51,22.4,6,231,110,3415,15.8,81
52,12,8,455,225,4951,11,73
53,14,8,455,225,3086,10,70
54,16.9,8,350,155,4360,14.9,79
55,13,8,350,155,4502,13.5,72
56,30,4,111,80,2155,14.8,77
57,17.7,6,231,165,3445,13.4,78
58,21,6,231,110,3039,15,75
59,15,8,350,165,3693,11.5,70
60,28.4,4,151,90,2670,16,79
61,20.5,6,231,105,3425,16.9,77
62,26.6,4,151,84,2635,16.4,81
63,23,8,350,125,3900,17.4,79
64,16.5,8,350,180,4380,12.1,76
65,16,6,250,105,3897,18.5,75
66,15,8,350,145,4440,14,75
67,27,4,151,90,2950,17.3,82
68,13,8,400,150,4464,12,73
69,17,8,305,130,3840,15.4,79
70,17.5,8,305,145,3880,12.5,77
71,34,4,112,88,2395,18,82
72,27,4,112,88,2640,18.6,82
73,28,4,112,88,2605,19.6,82
74,,8,350,165,4142,11.5,70
75,13,8,307,130,4098,14,72
76,16,6,250,100,3781,17,74
77,17.5,8,305,140,4215,13,76
78,17,6,250,100,3329,15.5,7
